"","microcosm","spp1","spp2","temp.ranges","m.code","rrrs","kkks","cv","cov","cor","eve","var","tot"
"1",1,"colpidium","loxocephallus",1,"CL",0.193706340186733,0.422009027413733,0.463395254305739,0.000410402310193004,0.715240308874873,0.764240678795085,0.00248557437009027,0.0620432785091035
"2",3,"colpidium","tetrahymena",1,"CT",0.225416892738965,0.0173065189182954,0.449767756227362,-4.39702575077823e-05,-0.653101226442585,0.509119533053383,0.00443114801289969,0.0732633841973937
"3",4,"loxocephallus","paramecium",1,"LP",0.910029332120903,0.0584215976497563,0.248091016387502,4.54196907516344e-06,0.0594738882120527,0.83508591415532,0.000162702274469804,0.0264151522649734
"4",5,"loxocephallus","tetrahymena",1,"LT",0.968141236926757,-0.0525354912388168,0.393870316306029,9.47844697908344e-06,0.542910196540331,0.65463546390136,0.000171632812006065,0.0175253408190914
"5",6,"paramecium","tetrahymena",1,"PT",0.897371168155054,0.0131968041063192,0.368441508385261,-2.27885571432959e-06,-0.344085924208477,0.538552391645998,5.34994309558721e-05,0.00949382155824018
"6",7,"colpidium","loxocephallus",1,"CL",0.193706340186733,0.422009027413733,0.480093355553151,0.000212868026879942,0.67245045898567,0.71612554347808,0.00345205899612937,0.0648539951695802
"7",9,"colpidium","tetrahymena",1,"CT",0.225416892738965,0.0173065189182954,0.455617972102823,-4.03987688786012e-05,-0.65905334788264,0.508788375898327,0.00453318505675971,0.0732260547411325
"8",10,"loxocephallus","paramecium",1,"LP",0.910029332120903,0.0584215976497563,0.356539532396628,1.27779671337056e-05,0.188537481529938,0.724970598503912,0.000441317189283829,0.0303013341457370
"9",11,"loxocephallus","tetrahymena",1,"LT",0.968141236926757,-0.0525354912388168,0.393283010078168,5.77400689509658e-06,0.074395757647831,0.590586059173601,0.000587564921334645,0.0311185367370549
"10",12,"paramecium","tetrahymena",1,"PT",0.897371168155054,0.0131968041063192,0.238338472559516,-1.13620386270653e-06,-0.271002062866095,0.530162902138736,2.39269533589784e-05,0.0097622604553135
"11",13,"colpidium","loxocephallus",1,"CL",0.193706340186733,0.422009027413733,0.471911534282906,0.000577239873922476,0.735452319737652,0.746828541990897,0.00321404209483007,0.0700287973140917
"12",15,"colpidium","tetrahymena",1,"CT",0.225416892738965,0.0173065189182954,0.50164061647877,-2.94341175460469e-05,-0.55084529010162,0.508937212169866,0.00389801691115297,0.0617582209580555
"13",16,"loxocephallus","paramecium",1,"LP",0.910029332120903,0.0584215976497563,0.326681405824088,3.41002118023115e-06,0.0544677628234552,0.85610647138485,0.000219571318488011,0.0230290229993099
"14",17,"loxocephallus","tetrahymena",1,"LT",0.968141236926757,-0.0525354912388168,0.433347120918924,8.34370270649542e-06,0.177359807829198,0.630243139625956,0.000384143808982767,0.0231001529825071
"15",18,"paramecium","tetrahymena",1,"PT",0.897371168155054,0.0131968041063192,0.314440931846404,6.02799961866476e-07,0.0706343734364352,0.543676698030276,2.59299519037169e-05,0.00828324026195588
"16",19,"colpidium","loxocephallus",2,"CL",-0.617921579732885,0.471158011402005,0.503073329315476,5.30426634310457e-05,0.186128172091249,0.786307357030306,0.00173662727889362,0.0426645838752924
"17",21,"colpidium","tetrahymena",2,"CT",-0.349380903317846,-0.0693368938650117,0.35388949680727,-1.78088080379781e-05,-0.519119026332474,0.506339805549786,0.00168573215440169,0.057393059464216
"18",22,"loxocephallus","paramecium",2,"LP",0.923112582225894,0.159587783628433,0.726992318655593,0.000135926749369671,0.310419455138845,0.866451212950081,0.00107094284641366,0.0252025948234546
"19",23,"loxocephallus","tetrahymena",2,"LT",0.804505656584566,-0.152719330011204,0.394503062605694,1.55460335322935e-05,0.330369305179694,0.610883405142069,0.000345057210970382,0.0245810110230979
"20",24,"paramecium","tetrahymena",2,"PT",0.822388846453979,-0.0303854312428284,0.484610110149341,2.57301407686533e-06,0.103149653885654,0.539078946001065,0.000196185238338421,0.0146397326844185
"21",25,"colpidium","loxocephallus",2,"CL",-0.617921579732885,0.471158011402005,0.363229072551868,0.000336184328585631,0.592051188640215,0.818687671317316,0.00154833600349476,0.0648686417472773
"22",27,"colpidium","tetrahymena",2,"CT",-0.349380903317846,-0.0693368938650117,0.427481682677259,-7.03657069192131e-05,-0.640631651166652,0.515479370845322,0.00369645060654219,0.069745504824856
"23",28,"loxocephallus","paramecium",2,"LP",0.923112582225894,0.159587783628433,0.196725814125134,-3.34754697145969e-05,-0.401365099697417,0.857413021349891,0.000167074961163908,0.0254318407824416
"24",29,"loxocephallus","tetrahymena",2,"LT",0.804505656584566,-0.152719330011204,0.373976630336619,7.83357215873317e-06,0.257588111283712,0.645756557661043,0.000167290216776641,0.0180842492419541
"25",30,"paramecium","tetrahymena",2,"PT",0.822388846453979,-0.0303854312428284,0.342098776538055,-4.24044433741653e-06,-0.307683978632559,0.590499901849163,4.54792108363985e-05,0.00889015838176824
"26",31,"colpidium","loxocephallus",2,"CL",-0.617921579732885,0.471158011402005,0.402185966285418,0.000327873510495835,0.513256876276403,0.768532843260208,0.00233635651262402,0.0680035211232112
"27",33,"colpidium","tetrahymena",2,"CT",-0.349380903317846,-0.0693368938650117,0.52495297777802,-1.95563591593222e-05,-0.506044637388455,0.51210573867762,0.00225070693200584,0.0447921927399021
"28",34,"loxocephallus","paramecium",2,"LP",0.923112582225894,0.159587783628433,0.264572602395311,-5.07538756947392e-05,-0.484507287693284,0.853434223333547,0.000248496335716362,0.0229122077638680
"29",35,"loxocephallus","tetrahymena",2,"LT",0.804505656584566,-0.152719330011204,0.497707750926565,3.62815407910164e-05,0.471196376326425,0.621913657886856,0.00057708331685546,0.0256055505263401
"30",36,"paramecium","tetrahymena",2,"PT",0.822388846453979,-0.0303854312428284,0.430110408658555,-1.70080890284796e-06,-0.0985889631360945,0.547394787864102,9.9663534094855e-05,0.0114055781134296
"31",37,"colpidium","loxocephallus",3,"CL",-0.98077191534054,0.850029301689408,0.325614529648433,5.91452860757256e-05,0.213885413055286,0.841385405135038,0.000728777240919706,0.0446915398280394
"32",39,"colpidium","tetrahymena",3,"CT",-0.178747896399509,0.397193737873489,0.455685953090170,-4.3634301876389e-05,-0.6801265337172,0.511986520560738,0.00396446271772261,0.0683224034240946
"33",40,"loxocephallus","paramecium",3,"LP",0.841994079143362,-0.340352166834765,0.28169388286727,-4.34269600211391e-05,-0.176146715381187,0.816174805533478,0.000652690774512411,0.0422219418796886
"34",41,"loxocephallus","tetrahymena",3,"LT",0.133103026948186,0.451712803935648,0.768422034070582,7.68923020744396e-05,0.790053343648054,0.68514443017465,0.000393680948803466,0.0152246947486089
"35",42,"paramecium","tetrahymena",3,"PT",-0.128470393165418,-0.21242660131754,0.296856545231871,-9.43972529813332e-06,-0.508684235280799,0.55541698272883,9.76264940823214e-05,0.0149465343360802
"36",43,"colpidium","loxocephallus",3,"CL",-0.98077191534054,0.850029301689408,0.334660363044698,0.000229582364988246,0.493923055225568,0.948177069853193,0.000938407992270901,0.0558538268365738
"37",45,"colpidium","tetrahymena",3,"CT",-0.178747896399509,0.397193737873489,0.457848020471751,-6.90573767380546e-05,-0.529643740015718,0.521443349794146,0.00298171805590665,0.0582348777973788
"38",46,"loxocephallus","paramecium",3,"LP",0.841994079143362,-0.340352166834765,0.24524020351966,-8.48631685131889e-05,-0.731114433180042,0.800709822039144,0.000264787604849214,0.0198783410535726
"39",47,"loxocephallus","tetrahymena",3,"LT",0.133103026948186,0.451712803935648,0.684055110136788,6.53840777633732e-05,0.616052597318563,0.643659689473024,0.000595748437543795,0.0197016083573058
"40",48,"paramecium","tetrahymena",3,"PT",-0.128470393165418,-0.21242660131754,0.352600599476540,4.94972278578654e-06,0.328258558697001,0.568655108543509,3.26744649825777e-05,0.00925249224363651
"41",49,"colpidium","loxocephallus",3,"CL",-0.98077191534054,0.850029301689408,0.345416310105491,5.98627961989863e-07,0.000918093736099876,0.86060870278005,0.00131359995913711,0.0524875802385255
"42",51,"colpidium","tetrahymena",3,"CT",-0.178747896399509,0.397193737873489,0.451603799995127,-0.000172914732306408,-0.75379597190482,0.534825125704747,0.00605473144228375,0.0836543848176743
"43",52,"loxocephallus","paramecium",3,"LP",0.841994079143362,-0.340352166834765,0.526803957320101,-4.08139683866646e-05,-0.236747114029085,0.702182713028717,0.000560729912538042,0.0207747093543257
"44",53,"loxocephallus","tetrahymena",3,"LT",0.133103026948186,0.451712803935648,0.38805073926499,3.13748656290301e-05,0.540853584621057,0.661494540996625,0.000155678830234213,0.0190430365961575
"45",54,"paramecium","tetrahymena",3,"PT",-0.128470393165418,-0.21242660131754,0.404922493324964,-2.79821861715711e-06,-0.105344946886351,0.544350687180065,0.000152229220250513,0.0149524941316222
